Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
36	86.98778833107191	5292.810040705563	['Cryab', 'Enpp2', 'Npy', 'Plp1', 'Slc17a8']	[0.07853498329807626, 1.9946563498636447, 0.1437896608352386, 6.656863449884032, 0.9937594921413845]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.3824588174694127, 0.10257905821535075, 0.009565011061699501, 0.025988146411015482, 0.22964425874394426, 0.24912605622296918]
37	99.90690032858707	5071.967141292443	['Cryab', 'Enpp2', 'Htr3a', 'Npy', 'Plp1']	[1.006093017640048, 0.975465257345158, 0.015227023663428972, 0.8504089161463492, 4.137974329913988]	['Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.0015434389963289725, 0.0018445719772844926, 0.010130007033263996, 0.565096178981154, 0.00138280374670289, 0.033025403820286015, 0.003192593999043865, 0.011732263007462508, 0.1304094512083699, 0.23450705085634507, 0.0016975729638970564, 0.004047436546891141]
38	93.77440347071584	3931.960954446855	['6330403K07Rik', 'Cryab', 'Enc1', 'Enpp2', 'Pcp4', 'Plp1', 'Rgs4']	[0.00495386846509713, 0.08481969088729646, 0.13943315271048248, 2.9900030574379746, 0.01178058707299693, 10.761553017998855, 0.036665573869014215]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.07433222322957439, 0.2604088885304066, 0.02860761342156917, 0.05816044701099108, 0.37308339716499517, 0.2054068926759055]
39	97.47643979057591	4772.505235602094	['Cck', 'Cryab', 'Npy', 'Plp1']	[0.9895852375546309, 2.008736053294082, 0.008879624661758744, 6.254422007086171]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.3918083835211562, 0.030646302408049386, 0.003999083089787898, 0.01609285853606526, 0.20370526386765275, 0.35326772451902483]
40	99.12305854241337	3904.1768219832734	['Cryab', 'Enc1', 'Enpp2', 'Plp1', 'Rgs4']	[0.15829022764195064, 0.0341096613581462, 0.004664501207685981, 0.9876446841480438, 0.9491621143631709]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0017503983894191163, 0.0011763343616977022, 0.003292670342155168, 0.0327581974130343, 0.020489516386130814, 0.01143615121720624, 0.01452117803183856, 0.015168182938105804, 0.03463463537544789, 0.8622365155466011]
41	101.49691991786447	3959.8562628336754	['3110035E14Rik', '6330403K07Rik', 'Enpp2', 'Pcp4', 'Plp1', 'Prkca']	[0.9932056785376602, 0.9861417169558712, 0.07922424818005656, 0.9764062978117863, 0.9092835391155508, 0.9931820359759822]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.011948263329985052, 0.0023494573591692496, 0.005351757880500958, 0.001939845639690403, 0.024958617797487034, 0.0016213522872651504, 0.001219301947796102, 0.010503644798001944, 0.017403977401309587, 0.0042571189585748365, 0.025069707337427794, 0.027598760101615237, 0.015985092170451666, 0.0011348717303858852, 0.012500702942908226, 0.830987611843742]
42	103.34053586862575	5198.404494382023	['6330403K07Rik', 'Cryab', 'Enpp2', 'Id2', 'Npy', 'Pcp4', 'Plp1']	[0.011771761440843775, 4.89701280460009, 2.9933942693115343, 0.054241605017619016, 0.5827172359548818, 0.002131704624993556, 15.153954882224093]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.21396256648371348, 0.10761742292674022, 0.16655652740171847, 0.44514033854359886, 0.06665996185428079]
43	107.18618266978923	5136.317915690866	['Cryab', 'Enpp2', 'Pcp4', 'Plp1', 'Prkca', 'Tac1']	[0.9988228003985207, 1.9933522885474482, 0.004403972025376188, 12.931447164897575, 0.9919259191055141, 0.02550131881560144]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.04480543063015176, 0.1021398815466939, 0.020410416951769452, 0.06545047562850953, 0.36522058778491046, 0.40197319147881894]
44	97.54862119013062	5355.747460087083	['Cryab']	[0.9890748412313858]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0017445242791335126, 0.0016056602464277943, 0.002514099113327206, 0.007839857946638487, 0.00560948287956315, 0.0012178317121186845, 0.00790192320498192, 0.008947033195352814, 0.011953109429482913, 0.9476389709954184]
45	108.56209619526203	4004.581478822685	['Cryab', 'Enpp2', 'Id2', 'Plp1', 'Pvalb', 'Reln']	[1.997360814786481, 4.806441764611863, 0.013803143068966406, 16.025346429774185, 0.001142793258215977, 0.9916621436977389]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.4374967594573481, 0.10006372363436762, 0.11128967104273386, 0.31681420190753073, 0.03415819006829764]
46	101.54485776805252	4068.809628008753	['3110035E14Rik', 'Arpp21', 'Cplx2', 'Id2', 'Plp1', 'Sst']	[0.9898347632642164, 0.9940637727125242, 0.0659523451316249, 0.0021043000738669867, 3.755477747735022, 0.9944469954337357]	['Astro.1', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.001408966276557577, 0.0043105868101689, 0.0041062100140735, 0.05273206396723323, 0.6210582609285403, 0.006205583181306255, 0.004119954408863708, 0.006737516661204162, 0.0013813727503516812, 0.018939306720182746, 0.22473750118771868, 0.0010521813912551558, 0.0046181670742075995, 0.04557875947279735]
47	112.43241042345277	4652.517915309446	['Cryab', 'Enpp2', 'Id2', 'Plp1']	[1.9201555061840336, 2.986229687739264, 2.9824141040846275, 17.756596435835686]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.001897277649165666, 0.21072116638729688, 0.0815153889331808, 0.07789762692593652, 0.42778880891025767, 0.20017973119391394]
48	118.16524908869988	5413.850546780073	['Cryab', 'Enpp2', 'Npy', 'Plp1', 'Reln', 'Satb1']	[0.9996174000221175, 2.9657634946134865, 0.9425726923183152, 18.062583661061367, 0.992340488556563, 0.05797525881342758]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.004772767035785332, 0.3151384022533606, 0.037383675576351354, 0.07405399799899293, 0.3974202614947788, 0.17123089563783148]
49	110.57706093189964	4486.572281959378	['3110035E14Rik', 'Cryab', 'Npy', 'Pcp4', 'Plp1', 'Snca', 'Trp53i11']	[1.596648028276041, 1.9641327686790118, 0.9938566199074275, 0.06449481165514126, 7.998939376943368, 0.16553908616852211, 0.1989288814501317]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.06515903672485221, 0.0208660788301669, 0.001374342043758353, 0.004342093990009939, 0.047156684011001974, 0.8610966299304395]
50	116.99650043744532	4718.727034120735	['Cryab', 'Pvalb', 'Sst', 'Sulf2', 'Wfs1']	[0.6972280777524192, 0.0012759611172584065, 0.001894873504667013, 0.9944106453443661, 1.9879875359271395]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.001665662034962507, 0.0014808534526987076, 0.0027668641351071468, 0.009045343823043681, 0.004941594890531571, 0.009979426617922704, 0.00869656117268931, 0.002585876656529318, 0.009310664537936896, 0.9469104073338196]
51	115.38713195201746	5448.577971646674	['Cxcl14', 'Pcp4', 'Satb1']	[0.990220970286989, 0.9897250752013016, 0.0012406391616321332]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.006059087294318029, 0.0027644738776465235, 0.0014405429375040815, 0.0012278573393099928, 0.004284940753391609, 0.0040377928882537875, 0.0051866364110262735, 0.008122207015461302, 0.010636878083409546, 0.006254388433587506, 0.9472008159610655]
